SANTRAL_ADI,PLAKA_NO,IL,FIRMA,KURULU_GUC
POYRAZGOLU_RES,10,BALIKESIR,DEMIRER_ENERJI,30,00
SOKE_CATALKBUK_RES,09,AYDIN,ABK_ENERJI,30,00
BALIKESIR_KELTEPE_RES,10,BALIKESIR,DEMIRER_ENERJI,30,00
CANAKKALE_RES,17,CANAKKALE,ENERJISA_ELEKTRIK,30,00
SARIKAYA_RES,59,TEKIRDAG,DEMIRER_ENERJI,29,00
AYYILDIZ_RES,10,BALIKESIR,AK_ENERJI,28,00
KARACABEY_TES,16,BURSA,BEREKET_ENERJI,28,00
SARES_RES,17,CANAKKALE,GAMA_ENERJI,28,00
SARPINCIK_RES,35,IZMIR,CALIK_ENERJI,27,00
INCESU_RES,03,AFYONKARAHISAR,TAMYELI_ENERJI_YATIRIM,27,00
ELMALI_RES,33,ICEL,PAKER_ENERJI,27,00
KIYIKOY_RES,39,KIRKLARELI,AKSA_ENERJI,27,00
ZAF_GRUP_SENBUK_RES,31,HATAY,ZAF_GRUP,25,00
KORES_KOCADAG_RES,35,IZMIR,DOST_ENERJI,25,00
PETKIM_RES,35,IZMIR,PETKIM,25,00
SINCIK_RES,02,ADIYAMAN,TEKTUG_ELEKTRIK,24,00
DILEK_RES,46,KAHRAMANMARAS,KALE_ENERJI_URETIM,24,00
KAPIDAG_RES,10,BALIKESIR,FERNAS_ENERJI,24,00
KEMERBURGAZ_RES,34,ISTANBUL,ALTO_ENERJI,24,00
KORKMAZ_RES,35,IZMIR,AYEN_ENERJI,24,00
TURGUTTEPE_RES,09,AYDIN,FC_ENERJI,23,00
DEMIRCILER_RES,27,GAZIANTEP,ZORLU_ENERJI,20,00
AKBUK_2_RES,48,MUGLA,AYEN_ENERJI,20,00
BOREAS_1_ENEZ_RES,22,EDIRNE,BOREAS_ENERJI,20,00
GUNAYDIN_RES,10,BALIKESIR,FINA_ENERJI,20,00
SALMAN_RES,35,IZMIR,FINA_ENERJI,20,00
BOKAYA_RES,35,IZMIR,KARDEMIR_HADDECILIK_VE_ELEKTRIK,20,00
MADRANBABA_RES,09,AYDIN,KIROBA_ENERJI,19,00
ALIDAG_RES,35,IZMIR,AKCA_ENERJI,19,00
KARADERE_RES,39,KIRKLARELI,FINA_ENERJI,18,00
ATIK_RES,31,HATAY,GURIS_HOLDING,16,00
KARADAG_RES,35,IZMIR,OKMAN_ENERJI,16,00
ALACATI_RES,35,IZMIR,ENDA_ENERJI,16,00
CESME_RES,35,IZMIR,ABK_CESME_RES,16,00
HAVRAN_RES,10,BALIKESIR,DEMIRER_ENERJI,16,00
IZMIR_SEFERIHISAR_RES,35,IZMIR,EKSIM_ENERJI,15,00
OVA_RES,09,AYDIN,KARDEMIR_HADDECILIK_VE_ELEKTRIK,15,00
URLA_RES,35,IZMIR,SANCAK_ENERJI,15,00
YAYLAKOY_RES,35,IZMIR,ENDA_ENERJI,15,00
ZELIHA_RES,39,KIRKLARELI,GURIS_HOLDING,15,00
BURGAZ,17,CANAKKALE,POLAT_ENERJI,14,00
SEFERIHISAR,35,IZMIR,AGAOGLU_ENERJI,14,00
EGENDA_EGE_ENERJI_MORDOGAN_RES,35,IZMIR,ENDA_ENERJI,13,00
EGENDA_ENERJI_URLA_RES,35,IZMIR,ENDA_ENERJI,13,00
AKYURT_RES,60,TOKAT,ADO_ENERJI_URETIM,12,00
BARBAROS_RES,59,TEKIRDAG,TURKERLER_HOLDING,12,00
KONAKPINAR_RES,58,SIVAS,ADO_ENERJI_URETIM,12,00
MUGLA_DATCA_RES,48,MUGLA,AKSA_ENERJI,12,00
ZINCIRLI_RES,38,KAYSERI,REA_ELEKTRIK_URETIM,12,00
GERIS_RES,48,MUGLA,AYTEMIZ_PETROL_ELEKTRIK_GRUBU,11,00
EGENDA_ENERJI_GERMIYAN_RES,35,IZMIR,ENDA_ENERJI,11,00
KARAKURT_RES,45,MANISA,FERNAS_ENERJI,11,00
CESME_GERMIYAN_RES,35,IZMIR,DEMIRER_ENERJI,11,00
BORES_BOZCAADA_RES,17,CANAKKALE,DEMIRER_ENERJI,10,00
GOKDAG_RES,41,KOCAELI,TURKERLER_HOLDING,10,00
ADARES_RES,35,IZMIR,FC_ENERJI,10,00
CATALTEPE_RES,34,ISTANBUL,SUPER_ELEKTRIK_URETIM,10,00
KARACAYIR_RES,58,SIVAS,ADO_ENERJI_URETIM,10,00
KARADAG_RES,35,IZMIR,GAMA_ENERJI,10,00
ORTAMANDIRA,10,BALIKESIR,FINA_ENERJI,10,00
