SANTRAL_ADI,IL_KOD,IL,FIRMA,KURULU_GUC
AYYILDIZ_RES,10,BALIKESIR,AK_ENERJI,28
KARACABEY_TES,16,BURSA,BEREKET_ENERJI,28
SARES_RES,17,CANAKKALE,GAMA_ENERJI,28
SARPINCIK_RES,35,IZMIR,CALIK_ENERJI,27
INCESU_RES,3,AFYONKARAHISAR,TAMYELI_ENERJI_YATIRIM,27
ELMALI_RES,,MERSIN,PAKER_ENERJI,27
KIYIKOY_RES,39,KIRKLARELI,AKSA_ENERJI,27
ZAF_GRUP_SENBUK_RES,31,HATAY,ZAF_GRUP,25
KORES_KOCADAG_RES,35,IZMIR,DOST_ENERJI,25
PETKIM_RES,35,IZMIR,PETKIM,25
SINCIK_RES,2,ADIYAMAN,TEKTUG_ELEKTRIK,24
DILEK_RES,46,KAHRAMANMARAS,KALE_ENERJI_URETIM,24
KAPIDAG_RES,10,BALIKESIR,FERNAS_ENERJI,24
KEMERBURGAZ_RES,34,ISTANBUL,ALTO_ENERJI,24
KORKMAZ_RES,35,IZMIR,AYEN_ENERJI,24
TURGUTTEPE_RES,9,AYDIN,FC_ENERJI,23
DEMIRCILER_RES,27,GAZIANTEP,ZORLU_ENERJI,20
AKBUK_2_RES,48,MUGLA,AYEN_ENERJI,20
BOREAS_1_ENEZ_RES,22,EDIRNE,BOREAS_ENERJI,20
GUNAYDIN_RES,10,BALIKESIR,FINA_ENERJI,20
SALMAN_RES,35,IZMIR,FINA_ENERJI,20
BOKAYA_RES,35,IZMIR,KARDEMIR_HADDECILIK_VE_ELEKTRIK,20
MADRANBABA_RES,9,AYDIN,KIROBA_ENERJI,19
ALIDAG_RES,35,IZMIR,AKCA_ENERJI,19
KARADERE_RES,39,KIRKLARELI,FINA_ENERJI,18
ATIK_RES,31,HATAY,GURIS_HOLDING,16
KARADAG_RES,35,IZMIR,OKMAN_ENERJI,16
ALACATI_RES,35,IZMIR,ENDA_ENERJI,16
CESME_RES,35,IZMIR,ABK_CESME_RES,16
HAVRAN_RES,10,BALIKESIR,DEMIRER_ENERJI,16
IZMIR_SEFERIHISAR_RES,35,IZMIR,EKSIM_ENERJI,15
OVA_RES,9,AYDIN,KARDEMIR_HADDECILIK_VE_ELEKTRIK,15
URLA_RES,35,IZMIR,SANCAK_ENERJI,15
YAYLAKOY_RES,35,IZMIR,ENDA_ENERJI,15
ZELIHA_RES,39,KIRKLARELI,GURIS_HOLDING,15
BURGAZ,17,CANAKKALE,POLAT_ENERJI,14
SEFERIHISAR,35,IZMIR,AGAOGLU_ENERJI,14
EGENDA_EGE_ENERJI_MORDOGAN_RES,35,IZMIR,ENDA_ENERJI,13
EGENDA_ENERJI_URLA_RES,35,IZMIR,ENDA_ENERJI,13
AKYURT_RES,60,TOKAT,ADO_ENERJI_URETIM,12
BARBAROS_RES,59,TEKIRDAG,TURKERLER_HOLDING,12
KONAKPINAR_RES,58,SIVAS,ADO_ENERJI_URETIM,12
MUGLA_DATCA_RES,48,MUGLA,AKSA_ENERJI,12
ZINCIRLI_RES,38,KAYSERI,REA_ELEKTRIK_URETIM,12
GERIS_RES,48,MUGLA,AYTEMIZ_PETROL_ELEKTRIK_GRUBU,11
EGENDA_ENERJI_GERMIYAN_RES,35,IZMIR,ENDA_ENERJI,11
KARAKURT_RES,45,MANISA,FERNAS_ENERJI,11
CESME_GERMIYAN_RES,35,IZMIR,DEMIRER_ENERJI,11
BORES_BOZCAADA_RES,17,CANAKKALE,DEMIRER_ENERJI,10
GOKDAG_RES,41,KOCAELI,TURKERLER_HOLDING,10
ADARES_RES,35,IZMIR,FC_ENERJI,10
CATALTEPE_RES,34,ISTANBUL,SUPER_ELEKTRIK_URETIM,10
KARACAYIR_RES,58,SIVAS,ADO_ENERJI_URETIM,10
KARADAG_RES,35,IZMIR,GAMA_ENERJI,10
ORTAMANDIRA,10,BALIKESIR,FINA_ENERJI,10
SUAY_ENERJI_AKBUK_RES,9,AYDIN,SUAY_ENERJI,10
ELMALI_RES,,MERSIN,ELMALI_ENERJI_URETIM,9
GUNDOGDU_RES,16,BURSA,TURKAY_ALTERNATIF_ENERJIDEN_ELEKTRIK,9
AKDAG_RES,42,KONYA,AHSEN_ENERJI_URETIM,8
ALACATI_ARES_RES,35,IZMIR,ARES_ENERJI,8
EGE_RES,35,IZMIR,POLAT_ENERJI,7
HILAL_2_RES,42,KARAMAN,SANKO_ENERJI,7
TEPE_RES,34,ISTANBUL,TEPERES_ELEKTIRK,5
AYVACIK_RES,17,CANAKKALE,NOTOS_ELEKTIRK_URETIM_AS,5
PITANE_RES,35,IZMIR,BICAKCILAR_ELEKTRIK,4
SARAY_RES,59,TEKIRDAG,SARAY_ALUMINYUM,4
ADA_2_RES,10,BALIKESIR,ESIT_ELEKTRIK_URETIM,3
KARABEL_RES,35,IZMIR,EGENER_ELEKTRIK_URETIM,3
HAMZABEYLI_RES,22,EDIRNE,MERIC_RUZGAR_ENERJISI,3
GARANTI_IPLIK_RES,59,TEKIRDAG,GARANTI_IPLIK,2
SANJUT_RES,34,ISTANABUL,SUNJUT_ENERJI,1
KAREL_DEMIR_RES,35,IZMIR,KAR-EL_DEMIR,1
CAHAN_RES,17,CANAKKALE,NOTOS_ELEKTIRK_URETIM_AS,1
BOGAZICI_U._SARITEPE_KAM._RES,34,ISTANBUL,BOGAZICI_UNIVERSITESI,1
GOKCE_RES,17,CANAKKALE,NOTOS_ELEKTIRK_URETIM_AS,1
DERBY_RES,59,TEKIRDAG,SARAY_ALUMINYUM,1
PASALIMANI_RES,10,BALIKESIR,RK_RUZGAR_ENERJI,1
YETISEN_RES,31,HATAY,GURIS_HOLDING,1
AYYILDIZ_ENERJI_RES,34,ISTANBUL,AYYILDIZ_ENERJI,1
KIVAM_GIDA_EZINE_RES,17,CANAKKALE,NOTOS_ELEKTIRK_URETIM_AS,1
SERMETAL_KERSE_CIVI_RES,10,BALIKESIR,SERMETAL_KERSE_CIVI_VE_NAKLIYAT,0
BEREKET_CIFTLIGI_RES,31,HATAY,BEREKET_ENERJI,0
YUCEL_CELTIK_RES,10,BALIKESIR,YUCEL_CIFTLIGI,0
TOKAT_OSB_YALCIN_RES,60,TOKAT,ADO_ENERJI_URETIM,0
GEDIZ_UNIVERSITESI_RES,35,IZMIR,GEDIZ_UNIVERSITESI,0
KARABURUN_BELEDIYE_RES,35,IZMIR,KARABURUN_BELEDIYESI,0
SARAYCIK_PETROL_RES,11,BILECIK,SARAYCIK_PETROL,0
KATIP_CELEBI_UNIVERSITESI_RES,35,IZMIR,KATIP_CELEBI_UNIVERSITESI,0
